,Value,Model,Label,SWF,Metrics,Error
189,0.9985119047619048,QDA,0,w/o SWF,Precision,0.0014880952380952328
190,0.999671592775041,QDA,1,w/o SWF,Precision,0.0003284072249589709
191,0.9991347609777201,QDA,2,w/o SWF,Precision,0.0008652390222798623
192,0.9879326770403303,QDA,3,w/o SWF,Precision,0.012067322959669724
193,0.9053576285014958,QDA,4,w/o SWF,Precision,0.09464237149850419
194,0.9864477953807979,QDA,5,w/o SWF,Precision,0.013552204619202146
195,0.9803640826344856,QDA,6,w/o SWF,Precision,0.0196359173655144
196,0.3914097416862359,QDA,7,w/o SWF,Precision,0.6085902583137641
197,0.9700444652468991,QDA,8,w/o SWF,Precision,0.029955534753100865
198,0.9973240016467683,QDA,0,w/o SWF,Precision,0.0026759983532317344
199,0.9996685449121644,QDA,1,w/o SWF,Precision,0.0003314550878356082
200,0.9991423670668954,QDA,2,w/o SWF,Precision,0.0008576329331045907
201,0.9789915966386554,QDA,3,w/o SWF,Precision,0.021008403361344574
202,0.8829439839236373,QDA,4,w/o SWF,Precision,0.11705601607636273
203,0.9970873786407767,QDA,5,w/o SWF,Precision,0.002912621359223322
204,0.9732370433305013,QDA,6,w/o SWF,Precision,0.026762956669498683
205,0.39294999235357086,QDA,7,w/o SWF,Precision,0.6070500076464291
206,0.9585882352941176,QDA,8,w/o SWF,Precision,0.04141176470588237
207,0.9979105725031342,QDA,0,w/o SWF,Precision,0.0020894274968658033
208,1.0,QDA,1,w/o SWF,Precision,0.0
209,0.9995574242088958,QDA,2,w/o SWF,Precision,0.00044257579110418277
210,0.9837194740137758,QDA,3,w/o SWF,Precision,0.016280525986224204
211,0.9091399299002426,QDA,4,w/o SWF,Precision,0.09086007009975738
212,0.9982220466218886,QDA,5,w/o SWF,Precision,0.0017779533781113743
213,0.9773916684111367,QDA,6,w/o SWF,Precision,0.02260833158886333
214,0.39236344616304264,QDA,7,w/o SWF,Precision,0.6076365538369574
215,0.9486418625884502,QDA,8,w/o SWF,Precision,0.05135813741154982
216,0.9959175341906511,QDA,0,w/o SWF,Precision,0.004082465809348901
217,1.0,QDA,1,w/o SWF,Precision,0.0
218,0.9989154013015185,QDA,2,w/o SWF,Precision,0.0010845986984815426
219,0.9793530626290433,QDA,3,w/o SWF,Precision,0.020646937370956686
220,0.9100445843168109,QDA,4,w/o SWF,Precision,0.0899554156831891
221,0.9974693400817598,QDA,5,w/o SWF,Precision,0.0025306599182401968
222,0.977968946705833,QDA,6,w/o SWF,Precision,0.02203105329416699
223,0.3858050056032873,QDA,7,w/o SWF,Precision,0.6141949943967127
